ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type
FITB,Fifth Third Bancorp,Financials,S&P 500,52590297088,58.01,299208038.7,NYQ,EQUITY
FSLR,First Solar,Information Technology,S&P 500,24370925568,226.77,790170994.2,NMS,EQUITY
FE,FirstEnergy,Utilities,S&P 500,27192047616,47.01,243420130.5,NYQ,EQUITY
FISV,Fiserv,Financials,S&P 500,27417892864,51.56,563158944.0,NMS,EQUITY
FLEX,Flex Ltd.,Information Technology,S&P 500,46001754112,124.53,541162549.2,NMS,EQUITY
F,Ford Motor Company,Consumer Discretionary,S&P 500,55148449792,13.83,639089278.8,NYQ,EQUITY
FTNT,Fortinet,Information Technology,S&P 500,118010503168,160.84,926327420.4,NMS,EQUITY
FTV,Fortive,Industrials,S&P 500,18761148416,61.54,163508703.0,NYQ,EQUITY
FOXA,Fox Corporation (Class A),Communication Services,S&P 500,26458941440,63.05,330920447.0,NMS,EQUITY
FOX,Fox Corporation (Class B),Communication Services,S&P 500,23487819776,55.97,61553567.199999996,NMS,EQUITY
BEN,Franklin Resources,Financials,S&P 500,17066303488,33.59,176091544.20000002,NYQ,EQUITY
FCX,Freeport-McMoRan,Materials,S&P 500,96908001280,69.22,857390761.1999999,NYQ,EQUITY
GRMN,Garmin,Consumer Discretionary,S&P 500,59781570560,309.98,283383716.0,NYQ,EQUITY
IT,Gartner,Information Technology,S&P 500,11332715520,179.46,323770964.40000004,NYQ,EQUITY
GE,GE Aerospace,Industrials,S&P 500,379052687360,365.33,1121175850.2,NYQ,EQUITY
GEHC,GE HealthCare,Health Care,S&P 500,32879577088,72.28,281796590.4,NMS,EQUITY
GEV,GE Vernova,Industrials,S&P 500,276960313344,1039.9,2116352485.0000002,NYQ,EQUITY
GEN,Gen Digital,Information Technology,S&P 500,17143531520,28.64,160724243.20000002,NMS,EQUITY
GNRC,Generac,Industrials,S&P 500,13093351424,221.9,278144993.0,NYQ,EQUITY
GD,General Dynamics,Industrials,S&P 500,106656342016,394.21,384303502.7,NYQ,EQUITY
GIS,General Mills,Consumer Staples,S&P 500,20376985600,38.18,323164683.2,NYQ,EQUITY
